block,maintainer,scale,roadlength
60,W,1,900.48733374501
61,W,1,1656.38376965095
62,G,1,656.363163271632
62,P,1,1187.96007576262
62,W,1,3335.78142596005
63,G,1,12193.0641286852
63,W,1,497.632307527003
64,G,1,1526.46102468106
64,W,1,1265.90264794097
65,W,1,2203.42992685044
66,G,1,1257.90141201804
66,W,1,2149.13011229537
67,W,1,4631.77932226177
68,G,1,6936.80603295911
68,W,1,4897.38651259335
69,G,1,7198.70860135028
69,W,1,608.914814084479
89,W,1,3028.23266814032
90,W,1,2260.12266072714
91,W,1,2338.72218354853
92,G,1,711.713751415479
92,P,1,1027.20739313352
92,W,1,2494.40530113031
93,G,1,588.787776579738
93,W,1,168.131388257078
94,W,1,3524.09306854033
95,W,1,2830.96319064936
96,W,1,1993.27977303169
97,G,1,163.127493332574
97,W,1,3612.14241746451
98,W,1,2130.79395464297
99,W,1,3757.29147781925
100,G,1,739.698554070002
100,W,1,1062.30633833743
101,G,1,5655.44822498463
101,W,1,3053.79159064226
102,G,1,1.84916122684434
122,G,1,624.407039880001
122,W,1,1728.88780856396
123,W,1,1777.87898806527
124,W,1,1493.39229792376
125,G,1,208.37943758097
125,P,1,1553.09194711757
125,W,1,2855.73566817993
126,T,1,15.796737704147
126,W,1,1275.84875889568
127,W,1,3722.61736458984
128,W,1,3263.01855258621
129,W,1,2400.66449606236
130,W,1,3758.27128130892
131,W,1,2626.09741423535
132,P,1,680.07272846895
132,W,1,2064.2055446834
133,G,1,3991.06918639691
133,P,1,28.5880402711249
133,W,1,1879.89830340787
134,G,1,1932.67686192261
134,W,1,2179.33216192387
135,G,1,617.997460448852
135,W,1,625.56977385394
157,W,1,1978.48069870154
158,G,1,3320.11470431532
158,W,1,1478.37548931755
159,P,1,476.405756810874
159,W,1,1832.44656748786
160,P,1,1163.28864348957
160,W,1,1325.90617108807
161,G,1,3234.87982140632
161,P,1,1595.49652711521
161,W,1,1497.71708658501
162,W,1,1517.74138580744
163,G,1,38.6966861888642
163,W,1,3471.42502913352
164,W,1,3328.0409550264
165,W,1,2854.99262382705
166,W,1,2006.27281961643
167,P,1,1014.05499250549
167,W,1,2412.75829680358
168,P,1,666.289959312829
168,W,1,1026.60860402707
169,W,1,808.500929375314
170,G,1,84.72998088476
170,W,1,2791.24641734445
171,W,1,2282.01051775223
194,G,1,1798.66692435861
194,P,1,1063.64128778568
194,W,1,3411.67957998458
195,G,1,497.299641400104
195,P,1,374.483926115454
195,W,1,2991.42862451254
196,G,1,8954.51294702306
196,W,1,337.700826920201
197,G,1,2632.76001830686
197,P,1,1129.4516890515
197,W,1,661.025795002129
198,W,1,1075.01575781018
199,G,1,464.738471773454
199,P,1,225.236621996883
199,W,1,1456.81764510518
200,G,1,1796.91265125596
200,P,1,940.073300715497
200,W,1,1503.88669054017
201,W,1,2730.67072649747
202,W,1,2114.37285607561
203,G,1,76.7823869501902
203,W,1,2167.68467022438
204,G,1,359.885428440354
204,P,1,906.500003942303
204,W,1,1135.40706627309
205,P,1,1250.25385951158
205,W,1,2613.77243692214
206,P,1,613.151326900339
206,W,1,2203.78038573644
207,W,1,2133.8713045965
208,G,1,1968.27999844945
208,W,1,2684.53044343944
209,G,1,23.8421403146406
209,W,1,1299.82500085955
224,G,1,1371.63875304105
224,W,1,522.177220493327
225,G,1,5570.87828411705
225,W,1,2488.11125474713
226,W,1,2204.61836184515
233,W,1,2241.28019455171
234,G,1,1390.65989062262
234,P,1,807.040538763541
234,W,1,1267.10869812754
235,G,1,4501.25379872329
235,P,1,1381.17137529155
235,W,1,1527.66422430193
236,G,1,816.066305271863
236,P,1,790.779147677218
236,W,1,982.718220748171
237,W,1,1016.05471266109
238,W,1,1928.25653712673
239,G,1,431.15020818616
239,P,1,966.834370269258
239,W,1,3828.36475394548
240,P,1,216.643888048513
240,W,1,2266.63668980782
241,W,1,2800.65384260382
242,G,1,8.24621125123532
242,P,1,1751.82097712595
242,W,1,2438.21523963844
243,G,1,2276.81094799407
243,P,1,181.396842438041
243,W,1,2064.45346429489
244,W,1,1673.49535660853
245,P,1,1003.208553798
245,W,1,1654.29446905461
246,P,1,251.749271110647
246,T,1,319.021636594886
246,W,1,1555.19839208837
247,G,1,601.363499549743
247,W,1,3649.09278329472
248,G,1,3235.37945018082
248,W,1,2776.43351279061
262,G,1,2397.84928949116
262,W,1,1730.5004252779
263,G,1,1747.64355909048
263,P,1,888.264930364408
263,W,1,1982.26142604767
264,G,1,5016.98236251481
264,W,1,3559.86786487881
265,W,1,4806.26129559476
266,W,1,882.820597635088
273,W,1,3528.95548881061
274,W,1,2521.73897545031
275,W,1,3363.07829288674
276,W,1,1850.42982455661
277,W,1,2647.76731780119
278,W,1,1781.40393019722
279,W,1,2513.58467089497
280,G,1,694.930126951674
280,P,1,1281.28022114249
280,W,1,2962.13636335337
281,G,1,129.739656006542
281,P,1,1077.42547733429
281,W,1,4817.85437332761
282,G,1,7.61577310586391
282,P,1,2629.69230450519
282,W,1,1340.68777999857
283,W,1,3169.91986523765
284,W,1,3553.85131549643
285,W,1,2831.67292860155
286,G,1,3000.88370668094
286,P,1,2418.52885394771
286,W,1,2573.62118358546
287,G,1,643.54200318361
287,W,1,1745.84490436148
288,W,1,3490.19721899235
289,W,1,1073.08945939091
301,G,1,812.827608665687
301,P,1,548.237578946383
301,W,1,1529.71329092927
302,G,1,2279.89327658733
302,P,1,1469.82512465396
302,W,1,2887.37896482835
303,P,1,58.0579694395281
303,W,1,1753.76441534616
304,T,1,249.319837019583
304,W,1,3787.8558517036
305,W,1,3878.42521175381
306,W,1,2191.70926173252
314,W,1,1850.98272961446
315,W,1,1931.74803872626
316,G,1,297.985549627309
316,W,1,2753.94559135639
317,W,1,2149.39418773145
318,W,1,1215.57179746472
319,W,1,2610.22806806513
320,G,1,10.816653826392
320,W,1,2120.96310933663
321,G,1,1022.97028869383
321,W,1,2355.45366835275
322,G,1,13594.0985250143
322,W,1,152.888594029341
323,G,1,266.833799760218
323,P,1,2095.61900512755
323,W,1,2005.44328806832
324,W,1,1458.12740857618
325,W,1,3003.41520702423
326,W,1,1466.32597706992
327,G,1,899.643548827127
327,P,1,1025.45476763419
327,W,1,2506.31072330307
328,G,1,75.4065133617246
328,P,1,437.53537995464
328,W,1,2803.43637286899
329,W,1,1560.03268722079
330,W,1,2014.67275432794
341,G,1,1750.57582113295
342,G,1,6919.44999959938
342,P,1,303.279631319094
342,W,1,2129.85535985663
343,G,1,1270.74708468592
343,W,1,3148.07082826721
344,W,1,2918.45732644664
345,W,1,2791.75962682393
346,W,1,3561.03309100202
347,W,1,3431.40668239232
348,W,1,1766.07638246691
356,W,1,1100.67645009825
357,W,1,3364.60488678352
358,G,1,707.022409068429
358,W,1,3623.67559390354
359,W,1,1962.06958881517
360,G,1,20.3960780543711
360,W,1,2963.30339643178
361,W,1,1953.19480291576
362,W,1,2159.24061422498
363,W,1,1945.24487736777
364,G,1,12047.835091885
364,W,1,599.820412599006
365,G,1,5114.04721523941
365,P,1,1867.68368028561
365,W,1,2215.42413101826
366,W,1,3116.68242903827
367,W,1,2114.74086451856
369,W,1,1153.67944879598
370,G,1,1914.190693149
370,P,1,788.365393499269
370,W,1,2754.79476155941
371,W,1,3486.53915333466
372,W,1,5169.73548838503
382,G,1,92.7148918698459
383,G,1,6698.51018929176
383,T,1,130.411480780302
383,W,1,688.992675412087
384,G,1,3188.7672098136
384,P,1,831.956591266275
384,W,1,1784.96857041713
385,W,1,3421.89242658414
386,G,1,144.035630405719
386,W,1,2341.59450963411
387,G,1,209.003503654727
387,W,1,1390.92739766427
388,G,1,92.2385771119815
388,W,1,2680.44580918064
389,G,1,1264.28548295738
389,W,1,2882.25250789012
390,G,1,9592.19023318421
390,W,1,824.261427398206
391,G,1,550.353866164309
400,W,1,2122.74167570337
401,W,1,2413.71372264534
402,W,1,1963.52025945365
403,W,1,1709.99305854618
404,G,1,120.087130861708
404,W,1,2549.87037053571
405,G,1,1397.78300661073
405,P,1,1088.36057211601
405,W,1,1415.01988893693
406,W,1,368.59560861795
407,W,1,1982.31746322901
408,W,1,1423.32363055658
409,G,1,58.6321506467655
409,W,1,2803.77610706077
410,G,1,2982.10702971539
410,P,1,556.367056491875
410,W,1,1134.04496931599
411,W,1,2781.01543909289
412,W,1,1920.78065786522
413,W,1,2407.97640851119
420,G,1,16.217325355053
421,G,1,667.201261909878
421,W,1,9.78124163135078
422,G,1,1014.32085173718
422,W,1,2767.66887616903
423,G,1,503.707384074192
423,P,1,100.613130636879
423,W,1,3103.5034852818
424,P,1,1066.9598841591
424,W,1,1417.80246819877
425,G,1,5298.31479308803
425,W,1,2277.18161212453
426,W,1,2619.69931730787
427,W,1,3488.66536900666
428,G,1,2843.90456537214
428,W,1,2110.41867949149
429,G,1,2983.0362450268
429,W,1,2954.95676944726
430,G,1,5090.98425298801
430,W,1,1967.90703419698
431,G,1,1985.52205259799
431,W,1,204.314074519086
441,W,1,3303.55262471868
442,W,1,2397.75921762982
443,W,1,2309.79414545937
444,W,1,1689.92671613415
445,G,1,467.658766706636
445,P,1,132.993005800838
445,W,1,633.373873781325
446,G,1,1005.71442796961
446,P,1,1034.70750432728
446,W,1,2044.10782247889
447,W,1,2384.19613903684
448,W,1,1298.35475355085
449,W,1,1440.88015205646
450,G,1,154.919862653771
450,P,1,1024.44249762603
450,W,1,1386.20926209148
451,W,1,2157.25999741885
452,G,1,3456.28611349289
452,W,1,1000.17385225859
453,G,1,351.199207762639
453,W,1,2473.62721838277
459,G,1,857.667853942427
459,W,1,733.782690693749
460,G,1,5734.36168415012
460,W,1,1480.80834555605
461,G,1,1680.99376426707
461,W,1,3634.35046693042
462,P,1,711.52275736607
462,W,1,3452.88221550293
463,G,1,3651.85934643426
463,P,1,1381.50650979759
463,W,1,2077.64743022679
464,W,1,2173.96663723578
465,G,1,1175.3770148925
465,W,1,2419.75798094762
466,G,1,591.225135194392
466,W,1,1803.86865681693
467,G,1,613.61073530154
467,W,1,1881.9517665807
468,G,1,122.277662963248
468,W,1,2322.81534581443
469,W,1,3621.22523501553
470,G,1,1076.95145223299
470,W,1,1193.22415290784
471,G,1,839.330723255416
471,P,1,386.662170424468
471,W,1,2686.94089785713
472,W,1,142.111792683978
482,W,1,3205.31154704572
483,W,1,2069.45496265395
484,G,1,104.629354272493
484,W,1,2126.87259305101
485,W,1,2414.6812152842
486,W,1,2336.15653817008
487,G,1,723.788016125548
487,P,1,1486.33431235502
487,R,1,953.696355221815
487,W,1,1265.97486569767
488,G,1,422.949358171345
488,P,1,1308.65240731272
488,W,1,1696.38524129178
489,G,1,70.8387236291473
489,P,1,1119.02767921378
489,W,1,4179.41489514176
490,P,1,1021.79660448784
490,W,1,3364.17322574191
491,P,1,1492.61882147864
491,W,1,2293.93462128968
492,P,1,273.419113100254
492,W,1,1896.22918686241
493,G,1,5204.56765717528
493,P,1,774.495779445182
493,W,1,1813.08567532458
494,G,1,140.791589140193
494,W,1,933.922336204609
499,G,1,529.575486713671
500,G,1,7247.78405122368
500,W,1,1676.66114448721
501,W,1,2789.44112147936
502,W,1,4280.70756902292
503,P,1,1125.25685997549
503,W,1,1994.45263959823
504,G,1,207.328177360511
504,W,1,2276.36926488578
505,W,1,3448.79600307311
506,W,1,2172.80884420582
507,G,1,735.863254096736
507,T,1,28.6593254827024
507,W,1,2861.87327903878
508,G,1,64.4222588584067
508,T,1,36.1285656377563
508,W,1,2137.77053372531
509,W,1,2444.05052393551
510,W,1,991.88055870888
511,W,1,2690.38471797854
512,G,1,558.847898060998
512,P,1,1058.72480969875
512,W,1,2189.39093814027
513,G,1,1802.2349157169
513,W,1,1499.84944660297
524,W,1,3504.28659633807
525,W,1,3051.49815423573
526,G,1,2179.48455023625
526,W,1,2056.26437169113
527,W,1,1941.7532086763
528,R,1,44.8690698510398
528,W,1,568.767731821764
529,G,1,162.42251801601
529,R,1,3993.84096153259
529,W,1,1264.21783978139
530,G,1,10524.3830301077
530,R,1,23.9494121241905
530,W,1,660.392699270158
531,G,1,180.682293498086
531,W,1,2940.67055544226
532,W,1,2994.32085647652
533,G,1,588.703644587706
533,P,1,1657.26376903327
533,W,1,2805.19551016314
534,G,1,11785.0810424331
534,P,1,734.475446908059
534,W,1,615.65080885436
535,G,1,11468.6809842053
535,P,1,168.10784121717
541,G,1,8556.17742342664
542,G,1,21543.2655027347
543,G,1,1306.09260571881
543,T,1,11.9256874929284
543,W,1,3841.46779093406
544,G,1,11691.8164372694
544,W,1,1154.02520607901
545,G,1,1060.01761519119
545,P,1,1072.65195690066
545,W,1,2575.40152219127
546,W,1,1940.05356396855
547,W,1,1429.35712010366
548,W,1,1085.45708360607
549,W,1,2129.59398521712
550,G,1,23.4587555584476
550,W,1,1856.05153424214
551,W,1,1780.07692170626
552,G,1,13.3416640641263
552,W,1,2490.11164644537
553,G,1,2248.73835297006
553,P,1,280.052082851723
553,W,1,2216.67788033432
554,G,1,12170.1812764948
554,P,1,123.517492192705
554,W,1,101.499477337078
555,G,1,7226.91341647832
555,W,1,1470.73636208679
556,G,1,55.5829131021264
567,W,1,2496.08837838491
568,W,1,3173.48146634488
569,W,1,1981.65258036036
570,W,1,2729.56933279991
571,G,1,221.403174848174
571,R,1,4907.22317498275
571,W,1,1479.33586723607
572,R,1,578.508340527773
572,W,1,1575.43037039731
573,W,1,668.936592331647
574,W,1,1953.94661704967
575,W,1,4070.0451594199
576,P,1,865.572728246256
576,W,1,2479.02147469774
577,G,1,4985.36714745896
577,P,1,257.993760317515
577,W,1,3717.67603838212
578,G,1,2259.69089537838
578,W,1,50.6107828725202
582,G,1,84.6653110623332
583,G,1,16938.3203452636
584,G,1,23977.0650097972
585,G,1,20014.3786259545
586,G,1,4635.51228756811
586,P,1,774.401072679735
586,W,1,1546.44226642576
587,G,1,1425.91455670984
587,P,1,1608.32929019228
587,W,1,2767.94256757099
588,G,1,498.175293905689
588,P,1,579.715203905544
588,W,1,2132.68087139863
589,W,1,1306.83860694917
590,W,1,2188.25769283197
591,W,1,2010.57728039056
592,W,1,2664.8031612379
593,G,1,6799.84020493295
