block,aves2012_2016
10001,112
10002,102
10003,126
10004,193
10005,153
10006,153
10007,176
10008,124
10009,132
1000,26
10010,70
10011,119
10012,70
10013,74
10014,38
10015,38
10016,72
10017,58
10018,74
10019,29
1001,39
10020,21
10021,20
10022,104
10023,42
10024,68
10025,43
10026,53
10027,44
10028,53
10029,133
1002,31
10030,163
10031,53
10032,61
10033,91
10034,18
10035,26
10036,6
10037,21
10038,59
10039,41
1003,13
10040,64
10041,11
10042,5
10043,7
10044,39
10045,38
10046,58
10047,47
10048,145
10049,59
1004,1
10050,15
10051,31
10052,12
10053,47
10054,4
10055,3
10056,48
10057,50
10058,33
10059,35
1005,0
10060,51
10061,54
10062,50
10063,110
10064,40
10065,14
10066,89
10067,50
10068,51
10069,66
1006,0
10070,62
10071,78
10072,104
10073,83
10074,69
10075,55
10076,20
10077,59
10078,101
10079,44
1007,3
10080,79
10081,104
10082,94
10083,101
10084,102
10085,90
10086,84
10087,95
10088,93
10089,14
1008,0
10090,6
10091,19
10092,48
10093,22
10094,20
10095,7
10096,4
10097,12
10098,12
10099,33
1009,2
100,25
10100,19
10101,85
10102,71
10103,66
10104,75
10105,59
10106,65
10107,66
10108,44
10109,58
1010,52
10110,7
10111,8
10112,9
10113,27
10114,30
10115,17
10116,34
10117,60
10118,73
10119,82
1011,29
10120,90
10121,85
10122,86
10123,61
10124,50
10125,60
10126,10
10127,12
10128,4
10129,23
1012,44
10130,45
10131,50
10132,72
10133,73
10134,146
10135,101
10136,91
10137,89
10138,142
10139,71
1013,54
10140,90
10141,74
10142,199
10143,119
10144,82
10145,73
10146,84
10147,78
10148,96
10149,86
1014,41
10150,113
10151,114
10152,94
10153,122
10154,145
10155,155
10156,107
10157,22
10158,9
10159,2
1015,49
10160,1
10161,1
10162,1
10163,0
10164,1
10165,1
10166,0
10167,0
10168,0
10169,1
1016,14
10170,1
10171,0
10172,0
10173,0
10174,106
10175,128
10176,68
10177,50
10178,15
10179,47
1017,21
10180,65
10181,62
10182,55
10183,57
10184,56
10185,98
10186,77
10187,55
10188,38
10189,60
1018,73
10190,78
10191,30
10192,40
10193,42
10194,21
10195,28
10196,29
10197,81
10198,101
10199,41
1019,72
101,87
10200,120
10201,95
10202,124
10203,181
10204,128
10205,147
10206,114
10207,95
10208,152
10209,95
1020,3
10210,121
10211,60
10212,43
10213,98
10214,38
10215,36
10216,24
10217,46
10218,13
10219,11
1021,17
10220,23
10221,68
10222,102
10223,49
10224,89
10225,72
10226,63
10227,67
10228,103
10229,80
1022,2
10230,56
10231,85
10232,48
10233,68
10234,11
10235,17
10236,34
10237,57
10238,97
10239,0
1023,4
10240,1
10241,4
10242,17
10243,15
10244,73
10245,65
10246,57
10247,50
10248,53
10249,50
1024,0
10250,69
10251,79
10252,71
10253,37
10254,6
10255,62
10256,82
10257,68
10258,57
10259,19
1025,0
10260,26
10261,41
10262,116
10263,147
10264,48
10265,51
10266,69
10267,71
10268,50
10269,71
1026,0
