mdate,odate,doy,dow,natholiday
20170102,2017-01-02,2,1,f
20170103,2017-01-03,3,2,f
20170104,2017-01-04,4,3,f
20170105,2017-01-05,5,4,f
20170106,2017-01-06,6,5,f
20170107,2017-01-07,7,6,f
20170108,2017-01-08,8,0,f
20170109,2017-01-09,9,1,f
20170110,2017-01-10,10,2,f
20170111,2017-01-11,11,3,f
20170112,2017-01-12,12,4,f
20170113,2017-01-13,13,5,f
20170114,2017-01-14,14,6,f
20170115,2017-01-15,15,0,f
20170116,2017-01-16,16,1,f
20170117,2017-01-17,17,2,f
20170118,2017-01-18,18,3,f
20170119,2017-01-19,19,4,f
20170120,2017-01-20,20,5,f
20170121,2017-01-21,21,6,f
20170122,2017-01-22,22,0,f
20170123,2017-01-23,23,1,f
20170124,2017-01-24,24,2,f
20170125,2017-01-25,25,3,f
20170126,2017-01-26,26,4,f
20170127,2017-01-27,27,5,f
20170128,2017-01-28,28,6,f
20170129,2017-01-29,29,0,f
20170130,2017-01-30,30,1,f
20170131,2017-01-31,31,2,f
20170201,2017-02-01,32,3,f
20170202,2017-02-02,33,4,f
20170203,2017-02-03,34,5,f
20170204,2017-02-04,35,6,f
20170205,2017-02-05,36,0,f
20170206,2017-02-06,37,1,f
20170207,2017-02-07,38,2,f
20170208,2017-02-08,39,3,f
20170209,2017-02-09,40,4,f
20170210,2017-02-10,41,5,f
20170211,2017-02-11,42,6,f
20170212,2017-02-12,43,0,f
20170213,2017-02-13,44,1,f
20170214,2017-02-14,45,2,f
20170215,2017-02-15,46,3,f
20170216,2017-02-16,47,4,f
20170217,2017-02-17,48,5,f
20170218,2017-02-18,49,6,f
20170219,2017-02-19,50,0,f
20170220,2017-02-20,51,1,f
20170221,2017-02-21,52,2,f
20170222,2017-02-22,53,3,f
20170223,2017-02-23,54,4,f
20170224,2017-02-24,55,5,f
20170225,2017-02-25,56,6,f
20170226,2017-02-26,57,0,f
20170227,2017-02-27,58,1,f
20170228,2017-02-28,59,2,f
20170301,2017-03-01,60,3,f
20170302,2017-03-02,61,4,f
20170303,2017-03-03,62,5,f
20170304,2017-03-04,63,6,f
20170305,2017-03-05,64,0,f
20170306,2017-03-06,65,1,f
20170307,2017-03-07,66,2,f
20170308,2017-03-08,67,3,f
20170309,2017-03-09,68,4,f
20170310,2017-03-10,69,5,f
20170311,2017-03-11,70,6,f
20170312,2017-03-12,71,0,f
20170313,2017-03-13,72,1,f
20170314,2017-03-14,73,2,f
20170315,2017-03-15,74,3,f
20170316,2017-03-16,75,4,f
20170317,2017-03-17,76,5,f
20170318,2017-03-18,77,6,f
20170319,2017-03-19,78,0,f
20170320,2017-03-20,79,1,f
20170321,2017-03-21,80,2,f
20170322,2017-03-22,81,3,f
20170323,2017-03-23,82,4,f
20170324,2017-03-24,83,5,f
20170325,2017-03-25,84,6,f
20170326,2017-03-26,85,0,f
20170327,2017-03-27,86,1,f
20170328,2017-03-28,87,2,f
20170329,2017-03-29,88,3,f
20170330,2017-03-30,89,4,f
20170331,2017-03-31,90,5,f
20170401,2017-04-01,91,6,f
20170402,2017-04-02,92,0,f
20170403,2017-04-03,93,1,f
20170404,2017-04-04,94,2,f
20170405,2017-04-05,95,3,f
20170406,2017-04-06,96,4,f
20170407,2017-04-07,97,5,f
20170408,2017-04-08,98,6,f
20170409,2017-04-09,99,0,f
20170410,2017-04-10,100,1,f
20170411,2017-04-11,101,2,f
20170412,2017-04-12,102,3,f
20170413,2017-04-13,103,4,f
20170415,2017-04-15,105,6,f
20170418,2017-04-18,108,2,f
20170419,2017-04-19,109,3,f
20170420,2017-04-20,110,4,f
20170421,2017-04-21,111,5,f
20170422,2017-04-22,112,6,f
20170423,2017-04-23,113,0,f
20170424,2017-04-24,114,1,f
20170425,2017-04-25,115,2,f
20170426,2017-04-26,116,3,f
20170428,2017-04-28,118,5,f
20170429,2017-04-29,119,6,f
20170430,2017-04-30,120,0,f
20170501,2017-05-01,121,1,f
20170502,2017-05-02,122,2,f
20170503,2017-05-03,123,3,f
20170504,2017-05-04,124,4,f
20170506,2017-05-06,126,6,f
20170507,2017-05-07,127,0,f
20170508,2017-05-08,128,1,f
20170509,2017-05-09,129,2,f
20170510,2017-05-10,130,3,f
20170511,2017-05-11,131,4,f
20170512,2017-05-12,132,5,f
20170513,2017-05-13,133,6,f
20170514,2017-05-14,134,0,f
20170515,2017-05-15,135,1,f
20170516,2017-05-16,136,2,f
20170517,2017-05-17,137,3,f
20170518,2017-05-18,138,4,f
20170519,2017-05-19,139,5,f
20170520,2017-05-20,140,6,f
20170521,2017-05-21,141,0,f
20170522,2017-05-22,142,1,f
20170523,2017-05-23,143,2,f
20170524,2017-05-24,144,3,f
20170526,2017-05-26,146,5,f
20170527,2017-05-27,147,6,f
20170528,2017-05-28,148,0,f
20170529,2017-05-29,149,1,f
20170530,2017-05-30,150,2,f
20170531,2017-05-31,151,3,f
20170601,2017-06-01,152,4,f
20170602,2017-06-02,153,5,f
20170603,2017-06-03,154,6,f
20170606,2017-06-06,157,2,f
20170607,2017-06-07,158,3,f
20170608,2017-06-08,159,4,f
20170609,2017-06-09,160,5,f
20170610,2017-06-10,161,6,f
20170611,2017-06-11,162,0,f
20170612,2017-06-12,163,1,f
20170613,2017-06-13,164,2,f
20170614,2017-06-14,165,3,f
20170615,2017-06-15,166,4,f
20170616,2017-06-16,167,5,f
20170617,2017-06-17,168,6,f
20170618,2017-06-18,169,0,f
20170619,2017-06-19,170,1,f
20170620,2017-06-20,171,2,f
20170621,2017-06-21,172,3,f
20170622,2017-06-22,173,4,f
20170623,2017-06-23,174,5,f
20170624,2017-06-24,175,6,f
20170625,2017-06-25,176,0,f
20170626,2017-06-26,177,1,f
20170627,2017-06-27,178,2,f
20170628,2017-06-28,179,3,f
20170629,2017-06-29,180,4,f
20170630,2017-06-30,181,5,f
20170101,2017-01-01,1,0,t
20170414,2017-04-14,104,5,t
20170416,2017-04-16,106,0,t
20170417,2017-04-17,107,1,t
20170427,2017-04-27,117,4,t
20170505,2017-05-05,125,5,t
20170525,2017-05-25,145,4,t
20170604,2017-06-04,155,0,t
20170605,2017-06-05,156,1,t
